,Montana/f,"3,814","2,811",115,~,872,16,0,0,0,0,0
,Nebraska,"5,302","2,857","1,467",676,226,38,4,/,22,12,0
,Nevada,"13,757","5,910","4,132","2,813",253,385,88,13,0,43,120
,New Hampshire,"2,818","2,570",123,81,3,17,1,~,23,0,0
,New Jersey,"19,786","4,323","12,021","3,167",10,119,0,/,~,146,0
,New Mexico,"7,055","1,741",497,"4,141",485,20,15,0,0,156,0
,New York,"50,716","12,391","24,370","12,284",446,264,/,/,663,298,0
,North Carolina,"35,697","13,825","18,892","1,831",900,106,18,~,~,125,0
,North Dakota/g,"1,791","1,179",140,101,357,8,0,6,0,0,0
,Ohio,"52,175","27,345","23,142","1,311",66,75,/,/,236,0,0
,Oklahoma,"26,871","14,463","7,039","1,950","2,939",77,28,~,50,0,325
,Oregon/g,"15,166","11,299","1,389","1,862",386,226,4,0,0,0,0
,Pennsylvania,"49,244","20,775","23,137","4,986",46,131,~,0,0,169,0
,Rhode Island/c,"3,103","1,286",915,794,19,47,~,~,37,5,0
,South Carolina,"20,858","7,607","12,602",461,28,22,0,~,137,1,0
,South Dakota,"3,831","2,179",302,140,"1,178",23,3,~,6,0,0
,Tennessee,"28,203","15,335","12,195",567,41,65,/,/,/,0,0
,Texas,"163,703","53,918","54,544","54,329",128,539,0,0,245,0,0
,Utah,"6,182","3,956",413,"1,192",306,69,134,0,0,112,0
,Vermont,"1,735","1,491",175,11,23,7,0,/,0,28,0
,Virginia/c,"37,813","15,060","21,587",977,24,150,~,~,~,15,0
,Washington,"19,104","11,486","3,410","2,451",877,718,0,0,56,106,0
,West Virginia,"7,162","6,190",886,21,10,5,1,49,0,0,0
,Wisconsin,"23,377","10,625","9,622","2,027",839,252,0,0,0,12,0
,Wyoming,"2,374","1,801",127,291,138,9,5,0,2,1,0
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Federal data include prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities. Estimates provided by state and federal departments of corrections’ administrative record systems and may not reflect prisoners’ self-identification of race or Hispanic origin. State, federal, and national totals by race and Hispanic origin differ from other tables in this report due to adjustments made by BJS to correct for differences between administrative records and prisoner self-reported data of race and Hispanic origin.",,,,,,,,,,,,
~Not applicable. State does not track this race or Hispanic origin.,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,,
b/The Federal Bureau of Prisoners includes persons of Hispanic origin in the individual racial categories when reporting to NPS. BJS used data from 2016 FJSP (preliminary) to disaggregate race and Hispanic origin.,,,,,,,,,,,,
"c/Asians, Native Hawaiians, and Other Pacific Islanders combined in a single category and reported as Asian.",,,,,,,,,,,,
d/Counts from 2016 are not comparable to counts from prior years due to a change in reporting methodology. See Jurisdiction notes.,,,,,,,,,,,,
e/Number of persons of Hispanic origin may be undercounted due to ongoing changes in information systems.,,,,,,,,,,,,
f/Prisoners of Hispanic origin are included in the individual racial categories.,,,,,,,,,,,,
g/State did not submit 2016 NPS data on race or Hispanic origin. Counts were imputed. See Methodology.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics (BJS), National Prisoner Statistics (NPS), 2016; and Federal Justice Statistics Program (FJSP), 2016 (preliminary).",,,,,,,,,,,,
