,Michigan,"42,628","40,355","2,273",,"41,122","38,880","2,242",,-3.5,,-3.7,,-1.4,
,Minnesota,"10,798","10,027",771,,"10,592","9,818",774,,-1.9,,-2.1,,0.4,
,Mississippi,"18,236","17,032","1,204",,"18,666","17,397","1,269",,2.4,,2.1,,5.4,
,Missouri,"32,328","29,061","3,267",,"32,461","29,124","3,337",,0.4,,0.2,,2.1,
,Montana,"3,685","3,295",390,,"3,814","3,405",409,,3.5,,3.3,,4.9,
,Nebraska,"5,312","4,893",419,,"5,235","4,825",410,,-1.4,,-1.4,,-2.1,
,Nevada/e,"12,944","11,778","1,166",,"13,637","12,403","1,234",,:,,:,,:,
,New Hampshire/f,"2,897","2,661",236,,"2,818","2,591",227,,-2.7,,-2.6,,-3.8,
,New Jersey,"20,489","19,581",908,,"19,786","18,952",834,,-3.4,,-3.2,,-8.1,
,New Mexico,"6,994","6,301",693,,"6,972","6,276",696,,-0.3,,-0.4,,0.4,
,New York,"51,606","49,271","2,335",,"50,620","48,356","2,264",,-1.9,,-1.9,,-3.0,
,North Carolina,"35,523","33,026","2,497",,"34,596","32,085","2,511",,-2.6,,-2.8,,0.6,
,North Dakota/g,"1,783","1,577",206,,"1,779","1,568",211,,:,,:,,:,
,Ohio,"52,233","47,803","4,430",,"52,175","47,581","4,594",,-0.1,,-0.5,,3.7,
,Oklahoma,"28,114","25,119","2,995",,"26,486","23,527","2,959",,-5.8,,-6.3,,-1.2,
,Oregon/h,"15,230","13,923","1,307",,"15,150","13,846","1,304",,:,,:,,:,
,Pennsylvania,"49,578","46,824","2,754",,"49,000","46,188","2,812",,-1.2,,-1.4,,2.1,
,Rhode Island/c,"2,156","2,094",62,,"2,030","1,962",68,,-5.8,,-6.3,,9.7,
,South Carolina,"20,392","19,129","1,263",,"20,371","18,981","1,390",,-0.1,,-0.8,,10.1,
,South Dakota,"3,558","3,144",414,,"3,820","3,323",497,,7.4,,5.7,,20.0,
,Tennessee,"28,172","25,532","2,640",,"28,203","25,481","2,722",,0.1,,-0.2,,3.1,
,Texas,"157,251","144,508","12,743",,"157,903","144,928","12,975",,0.4,,0.3,,1.8,
,Utah/f,"6,488","5,973",515,,"6,181","5,776",405,,-4.7,,-3.3,,-21.4,
,Vermont/c,"1,290","1,207",83,,"1,229","1,146",83,,-4.7,,-5.1,,0.0,
,Virginia,"38,403","35,167","3,236",,"37,813","34,704","3,109",,-1.5,,-1.3,,-3.9,
,Washington,"18,205","16,756","1,449",,"19,019","17,377","1,642",,4.5,,3.7,,13.3,
,West Virginia,"7,118","6,253",865,,"7,162","6,286",876,,0.6,,0.5,,1.3,
,Wisconsin,"21,763","20,429","1,334",,"22,144","20,734","1,410",,1.8,,1.5,,5.7,
,Wyoming,"2,424","2,157",267,,"2,374","2,088",286,,-2.1,,-3.2,,7.1,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year.",,,,,,,,,,,,,,,
: Not calculated.,,,,,,,,,,,,,,,
"a/Total and state estimates include imputed counts for North Dakota and Oregon, which did not submit 2016 NPS data. See Methodology.",,,,,,,,,,,,,,,
"b/Includes prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
d/Counts from 2016 are not comparable to counts from prior years due to a change in reporting methodology. See Jurisdiction notes.,,,,,,,,,,,,,,,
e/State did not submit 2015 NPS data. Counts were imputed for 2015 and should not be compared to 2016 counts.,,,,,,,,,,,,,,,
f/State submitted updated 2015 population counts.,,,,,,,,,,,,,,,
g/State did not submit 2016 NPS data. Counts were imputed. See Methodology.,,,,,,,,,,,,,,,
h/State did not submit 2015 or 2016 NPS data. Counts were imputed. See Methodology.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2015–2016.",,,,,,,,,,,,,,,
